company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
boAt,2016,Mumbai,Beauty & Fashion,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"InnoVen Capital, InnoVen Capita",100000000.0,PE,2021,Early Stage
Pocket Aces,2013,Mumbai,Media & Entertainment,Pocket Aces is a digital entertainment company focused on mobile video.,"3one4 Capital, DSP Group",2000000.0,Venture - Series Unknown,2021,Established
Kyt,2020,Bangalore,Education,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",Alpha Wave Incubation,5000000.0,Series A,2021,Early Stage
iMumz,2019,Bangalore,Health,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Enzia Ventures, AngelList",300000.0,Venture - Series Unknown,2021,Early Stage
BharatPe,2018,New Delhi,Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Steadview Capital, Insight Partners",8200000.0,Debt,2021,Early Stage
CropIn,2010,Bangalore,Agriculture,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,"Invested Development, Pratithi Investment Trust",20000000.0,Series C,2021,Established
Vanity Wagon,2018,Haryana,Beauty & Fashion,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.","Dhianu Das, Agility Venture Partners",200000.0,Seed,2021,Early Stage
Oyo,2012,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,7000000.0,Series F1,2021,Established
Agri10x,2018,Pune,Agriculture,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,Omnivore,3000000.0,Seed,2021,Early Stage
BlackSoil,2016,Mumbai,Technology,Blacksoil Advisory is an independent boutique advisory firm.,Awign Enterprises,4000000.0,Venture - Series Unknown,2021,Early Stage
HobSpace,2019,Mumbai,Education,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Siddharth Bhaskar Shah, Upsparks",100000.0,Pre-series A1,2021,Early Stage
DcodeAI,2020,New Delhi,Education,EMPOWER LEARNERS TO BE FUTURE READY USING AI,S Chand,500000.0,Venture - Series Unknown,2021,Early Stage
Biocon Biologics,1978,Bangalore,Health,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.","Goldman Sachs, Tata Capital",70000000.0,Venture - Series Unknown,2021,Established
KiranaKart,2020,Mumbai,Commerce,A better model for instant grocery delivery in India.,Global Founders Capital,720000.0,Pre-seed,2021,Early Stage
Meddo,2018,Gurgaon,Health,Meddo is an end-to-end medical services provider,"growX ventures, Venture Gurukool",3000000.0,Pre-series A,2021,Early Stage
SP Robotic Works,2012,Chennai,Education,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,Mount Judi India Growth Fund,3000000.0,Series A,2021,Established
3SC,2018,Gurugram,Transport,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,GEF Capital’s South Asia Fund,15000000.0,Series B,2021,Early Stage
Chai Waale,2018,Food & Beverages,Health,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.","Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000.0,Venture - Series Unknown,2021,Early Stage
Minimalist,2020,Jaipur,Beauty & Fashion,Affordable skincare for all,Sequoia Capital,10000000.0,Series A,2021,Early Stage
Biconomy,2019,New Delhi,Technology,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Mechanism Capital, DACM",9000000.0,Venture - Series Unknown,2021,Early Stage
Fixcraft,2018,Gurugram,Transport,India's Most Trusted Automotive Repair Brand,Mumbai Angels Network,1000000.0,Pre-series A,2021,Early Stage
Slice,2016,Bangalore,Finance,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards","Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000.0,Venture - Series Unknown,2021,Early Stage
90+ My Tuition App,2015,Bangalore,Education,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Pearl Investment LLC,5000000.0,Series A,2021,Established
Wasabi,2021,Bangalore,Business,Help small businesses grow their sales via our customer interaction and growth platform.,"021 Capital, Sparrow Capital",1800000.0,Seed,2021,Early Stage
Strata,2019,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Kotak Investment Advisors Limited, Gruhas Proptech",6000000.0,Series A,2021,Early Stage
Ourbetterplanet,2020,Bangalore,Commerce,A curated online marketplace for all things sustainable!,VANS Group,300000.0,Seed,2021,Early Stage
Murf.ai,2020,Bangalore,Technology,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.",Elevation Capital,1500000.0,Seed,2021,Early Stage
JetSynthesys,2014,Pune,Media & Entertainment,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Sachin Tendulkar,2000000.0,Venture - Series Unknown,2021,Established
MYFITNESS,2019,Silvassa,LifeStyle,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.",9Unicorns,1000000.0,Seed,2021,Early Stage
I am Love,2020,Mumbai,Health,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Xentel Investments,4000000.0,Seed,2021,Early Stage
MyGlamm,2015,Mumbai,Commerce,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,Accel Partners,40000000.0,Venture - Series Unknown,2021,Established
Gumlet,2019,Bangalore,Technology,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,Sequoia’s Surge,1600000.0,Venture - Series Unknown,2021,Early Stage
Eloelo,2015,Bangalore,Manufacturing,Creator-led Social Gaming & Live Streaming Platform,"Waterbridge, Lumikai",2000000.0,Pre-series A,2021,Established
Edukemy,2020,Noida,Education,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.","Auxano, Falcon5",2000000.0,Pre-series A,2021,Early Stage
Zingbus,2019,Gurugram,Transport,Zingbus is a renowned brand in the bus operating industry.,Infoedge ventures,5000000.0,Pre-series A,2021,Early Stage
NewsReach,2018,Ahmedabad,Media & Entertainment,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,JITO Angel Network,300000.0,Seed,2021,Early Stage
Pencilton,2017,Hyderabad,Technology,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",Jupiter,330000.0,Pre-seed,2021,Early Stage
Bandhoo,2020,Gurugram,Technology,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers",Unitus Ventures,1000000.0,Venture - Series Unknown,2021,Early Stage
ixigo,2007,Gurugram,Technology,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","GIC, Infoedge",53000000.0,Venture - Series Unknown,2021,Established
The Whole Truth,2019,Food & Beverages,Transport,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Sequoia Capital,6000000.0,Series A,2021,Early Stage
Insane AI,2021,Bangalore,LifeStyle,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,pi Ventures,800000.0,Seed,2021,Early Stage
Learn4o Technology,2020,Jaipur,Education,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",IAN,3000000.0,Seed,2021,Early Stage
Droom,2014,Gurugram,Technology,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",Venture Catalysts,200000000.0,Venture - Series Unknown,2021,Established
Skymet,2003,Noida,Energy,Provide services that allow clients to understand and organize themselves around changing environment.,"Northern Arc, Caspian Impact Investments",1000000.0,Venture - Series Unknown,2021,Established
Go Swift,2019,Bangalore,Commerce,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,Kalaari Capital,2000000.0,Pre-series A,2021,Early Stage
Mamaearth,2016,Gurugram,Health,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,Sofina Ventures SA,50000000.0,Venture - Series Unknown,2021,Early Stage
G.O.A.T,2021,Bangalore,Commerce,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Tiger Global, Flipkart Ventures",36000000.0,Series A,2021,Early Stage
Keeros,2017,Food & Beverages,Health,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.",Venture Catalysts,3000000.0,Pre-series A,2021,Early Stage
ReDesyn,2016,Mumbai,Commerce,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",Anthill Ventures,300000.0,Pre-series A,2021,Early Stage
Inspacco,2019,Pune,Commerce,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",Inflection Point Ventures,200000.0,Venture - Series Unknown,2021,Early Stage
Knorish,2016,Gurugram,Education,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000.0,Pre-series A,2021,Early Stage
Dozee,2015,Bangalore,Health,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",Prime VP,5000000.0,Series A,2021,Established
BlackBuck,2015,Bangalore,Transport,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"Tribe Capital, IFC Emerging Asia Fund, VEF",67000000.0,Series E,2021,Established
Mailmodo,2020,Bangalore,Business,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Sequoia’s Surge, Y Combinator",2000000.0,Seed,2021,Early Stage
SuperBeings,2019,Bangalore,Technology,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",Endiya Partners,3000000.0,Seed,2021,Early Stage
NirogStreet,2018,New Delhi,Health,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000.0,Series A,2021,Early Stage
Hyreo,2016,Thiruvananthapuram,Business,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,Callapina Capital,3000000.0,Pre-series A,2021,Early Stage
GODI Energy,2020,Hyderabad,Transport,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,Blue Ashva Capital,3000000.0,Venture - Series Unknown,2021,Early Stage
Even,2020,Bangalore,Health,One monthly subscription to cover all your healthcare needs.,Khosla Ventures,5000000.0,Seed,2021,Early Stage
Captain Fresh,2019,Bangalore,Transport,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,"Accel Partners, Matrix India",12000000.0,Series A,2021,Early Stage
Otipy,2020,Food & Beverages,Technology,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,"Omidyar Network India, Innoven Capital",10200000.0,Series A,2021,Early Stage
Lenskart,2008,Faridabad,Beauty & Fashion,India's fastest growing eyewear company and largest eyewear company online.,"Temasek, Falcon Edge",220000000.0,Venture - Series Unknown,2021,Established
Eka.care,2020,Bangalore,Health,A digitally enabled and connected healthcare ecosystem for better health outcomes.,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000.0,Venture - Series Unknown,2021,Early Stage
Braingroom,2015,Chennai,Education,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.","IAN, Social Alpha, Startup Oasis",200000.0,Venture - Series Unknown,2021,Established
Edvizo,2017,Bangalore,Commerce,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Inflection Point Ventures,1000000.0,Pre-series A,2021,Early Stage
Credenc,2017,New Delhi,Technology,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Capital India,25000000.0,Venture - Series Unknown,2021,Early Stage
GlobalBees,2021,New Delhi,Commerce,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,"FirstCry, Lightspeed Venture Partners",150000000.0,Series A,2021,Early Stage
Spinny,2015,Gurugram,Transport,Spinny is a new age used car end-to-end platform in India.,Tiger Global,108000000.0,Series D,2021,Established
Mynvax,2017,Bangalore,Health,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Accel, LetsVenture, 1Crowd",4000000.0,Series A,2021,Early Stage
RiseBird,2018,Pune,Business,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,SAB Holdings,500000.0,Venture - Series Unknown,2021,Early Stage
Uvi Health,2020,Bangalore,Health,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Titan Capital,330000.0,Pre-seed,2021,Early Stage
Vegrow,2020,Bangalore,Agriculture,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,"Lightspeed Venture Partners, Elevation Capital",13000000.0,Venture - Series Unknown,2021,Early Stage
Automovill,2015,Bangalore,Transport,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.",Mumbai Angels Network,500000.0,Venture - Series Unknown,2021,Established
NFTically,2021,Gurugram,Commerce,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Jayanti Kanani,3000000.0,Seed,2021,Early Stage
HealthifyMe,2012,Bangalore,Health,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"LeapFrog, Khosla Ventures",75000000.0,Series C,2021,Established
GalaxyCard,2017,Gurugram,Technology,GalaxyCard is a mobile based Instant Credit Card.,JITO Angel Network,450000.0,Venture - Series Unknown,2021,Early Stage
Bella Vita Organic,2018,Gurugram,Health,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Ananta Capital,10000000.0,Venture - Series Unknown,2021,Early Stage
SmartCoin,2016,Bangalore,Technology,India's Most Preferred Instant Loan App,"Northern Arc, Vivriti Capital",10000000.0,Venture - Series Unknown,2021,Early Stage
CareerNinja,2017,Mumbai,Education,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",Unitus Ventures,3000000.0,Seed,2021,Early Stage
MYSUN,2016,New Delhi,Energy,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",TATA Cleantech Capital,2000000.0,Venture - Series Unknown,2021,Early Stage
Sea6 Energy,2010,Bangalore,Health,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",Aqua-Spark,9000000.0,Series B,2021,Established
Beco,2018,Mumbai,Commerce,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",Climate Angels Fund,500000.0,Seed,2021,Early Stage
OneCode,2020,Bangalore,Technology,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Sequoia’s Surge, Nexus Venture Partners",5000000.0,Venture - Series Unknown,2021,Early Stage
MedPay,2020,Bangalore,Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Entrepreneur First (EF), GrowX Ventures",1200000.0,Seed,2021,Early Stage
Inshorts,2013,Noida,Technology,Built Inshorts with a promise to deliver news,Vy Capital,60000000.0,Venture - Series Unknown,2021,Established
Digantara,2018,Bangalore,Technology,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",Kalaari Capital,2500000.0,Seed,2021,Early Stage
Aqgromalin,2018,Chennai,Agriculture,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,Zephyr Peacock,700000.0,Seed,2021,Early Stage
Square Yards,2014,Gurugram,Real Estate,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,ADM Capital,25000000.0,Venture - Series Unknown,2021,Established
OYO,2013,Gurugram,Hospitality,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,"SoftBank Vision Fund, Hindustan Media Venture",660000000.0,Venture - Series Unknown,2021,Established
Slang Labs,2017,Bangalore,Technology,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,100x Entrepreneurs,3000000.0,Venture - Series Unknown,2021,Early Stage
NirogGyan,2019,Gurugram,Health,"Simplifying Diagnostics for labs, doctors, and people.","Healthcare veterans, PIEDS",3000000.0,Seed,2021,Early Stage
Ola Electric,2017,Bangalore,Transport,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bank of Baroda,100000000.0,Debt,2021,Early Stage
Bikry app,2019,Noida,Commerce,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",YCombinator,1300000.0,Venture - Series Unknown,2021,Early Stage
Oliveboard,2012,Bangalore,Education,Oliveboard is the top exam preparation platform for Banking & Government Exams.,IAN Fund,3000000.0,Venture - Series Unknown,2021,Established
Little Leap,2020,New Delhi,Education,Soft Skills that make Smart Leaders Holistic Development Programs for children in age range 5-15,ah! Ventures,300000.0,Venture - Series Unknown,2021,Early Stage
Trell,2016,Bangalore,Commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Mirae Asset, H&M",45000000.0,Series B,2021,Early Stage
Kredent,2008,Kolkata,Education,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,Kotak Securities,1000000.0,Venture - Series Unknown,2021,Established
EasyAspataal,2020,Mumbai,Health,India’s First Digital Admission Desk for Hospitalisation.,Venture Catalysts,500000.0,Seed,2021,Early Stage
SMOOR,2008,Food & Beverages,Technology,Instigate your sixth sense with our new range of chocolates.,Klub,3000000.0,Venture - Series Unknown,2021,Established
Pankhuri,2019,Bangalore,Government,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Sequoia’s Surge,3200000.0,Venture - Series Unknown,2021,Early Stage
Arcana,2019,Bangalore,Technology,Arcana is the Storage Layer of Ethereum.,Balaji Srinivasan,370000.0,Seed,2021,Early Stage
AdmitKard,2016,Noida,Education,A tech solution for end to end career advisory to students looking to study abroad.,Inflection Point Ventures,1000000.0,Pre-series A,2021,Early Stage
UrbanKisaan,2017,Food & Beverages,Transport,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,BASF Venture Capital GmbH,3000000.0,Venture - Series Unknown,2021,Early Stage
Aquaconnect,2017,Chennai,Agriculture,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,"Rebright Partners, Flourish Ventures",4000000.0,Pre-series A,2021,Early Stage
Vah Vah!,2020,Bangalore,Education,A mission to educate India and make its young and dynamic population job ready.,Sequoia Surge,1800000.0,Venture - Series Unknown,2021,Early Stage
LetsDressUp,2019,Gurugram,Beauty & Fashion,Building India's version of Stitch Fix,"Titan Capital, Sequoia Capital",300000.0,Pre-series A,2021,Early Stage
Sapio Analytics,2019,Mumbai,Technology,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,Parthiv Group,150000.0,Venture - Series Unknown,2021,Early Stage
BHyve,2020,Mumbai,Business,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks Backed by 100x.VC,"ITO Angel Network, LetsVenture",300000.0,Venture - Series Unknown,2021,Early Stage
Indi Energy,2019,Roorkee,Energy,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Mumbai Angels Network,3000000.0,Seed,2021,Early Stage
The Ayurveda Co,2021,Gurugram,Commerce,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,"GetVantage, Velocity, Shiprocket Capital",3000000.0,Venture - Series Unknown,2021,Early Stage
Pratilipi,2015,Bangalore,Technology,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.","Krafton Inc, Omidyar",48000000.0,Venture - Series Unknown,2021,Established
Ati Motors,2017,Bangalore,Transport,Autonomous industrial vehicle maker,"Blume Ventures, Exfinity Venture Partners",35000000.0,Pre-series A,2021,Early Stage
peAR,2018,Mumbai,Technology,An AR / VR tech based Start-up in Mumbai.,Inflection Point Ventures,300000.0,Pre-series A1,2021,Early Stage
Gourmet Garden,2019,Bangalore,Agriculture,"100% contamination free, pesticide free naturoponically grown vegetables.","Beyond Next Ventures, M Venture Partners",3000000.0,Venture - Series Unknown,2021,Early Stage
The Sleep Company,2019,Mumbai,Commerce,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,Fireside Ventures,1000000.0,Pre-series A,2021,Early Stage
TyrePlex,2020,New Delhi,Commerce,Tyreplex is digitizing the tyre dealers in India.,AdvantEdge Founders,3000000.0,Seed,2021,Early Stage
ION Energy,2016,Mumbai,Transport,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Mumbai Angels Network,3600000.0,Pre-series A,2021,Early Stage
Digit Insurance,2016,Bangalore,Technology,"Digit becomes the first Unicorn of 2021, valued at $1.9B.","Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000.0,Venture - Series Unknown,2021,Early Stage
FRAAZO,2020,Food & Beverages,Technology,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Sixth Sense Ventures, NABVENTURES",11000000.0,Series A,2021,Early Stage
Licious,2015,Food & Beverages,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Temasek, Multiples PE",192000000.0,Series F,2021,Established
WinZO,2018,New Delhi,Manufacturing,WinZO is the largest social gaming and entertainment platform in India.,Griffin Gaming Partners,65000000.0,Series C,2021,Early Stage
Furlenco,2012,Bangalore,Commerce,Furlenco is a different furniture company.,Zinnia Global,100000000.0,Venture - Series Unknown,2021,Established
Skylark Drones,2014,Bangalore,Transport,"Enterprise drone solutions that help plan, build, and sustain the world we live in.","InfoEdge Ventures, IAN Fund",3000000.0,Pre-series A,2021,Established
Leegality,2016,Gurugram,Technology,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016","IIFL, Mumbai Angels",3000000.0,Pre-series A,2021,Early Stage
Arcatron Mobility,2015,Pune,Health,Mission is to advance global standards of assisted living and make it dignified and safer.,Klub,3000000.0,Venture - Series Unknown,2021,Established
TWID,2020,Bangalore,Technology,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","BEENEXT, Sequoia’s Surge",2500000.0,Venture - Series Unknown,2021,Early Stage
PeakPerformer,2020,Bangalore,Education,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.",Antler India,3000000.0,Early seed,2021,Early Stage
MyMobiForce,2018,Noida,Technology,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",Bharat Inclusion,1400000.0,Pre-series A,2021,Early Stage
Pine Labs,1998,Noida,Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,"Fidelity, BlackRock",600000.0,Venture - Series Unknown,2021,Established
Genworks Health,2015,Bangalore,Health,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,Blacksoil,2000000.0,Venture - Series Unknown,2021,Established
Pocketly,2019,Bangalore,Technology,"Pocketly provides quick cash on hand, anytime - anywhere!",Venture Catalysts,3000000.0,Venture - Series Unknown,2021,Early Stage
Neverinstall,2019,Bangalore,Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,Speciale Invest,370000.0,Seed,2021,Early Stage
CoRover,2016,Bangalore,Technology,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,Canbank Venture Capital Fund,3000000.0,Venture - Series Unknown,2021,Early Stage
BeatO,2015,New Delhi,Health,ULTIMATE app to manage chronic conditions.,W Health Ventures,5000000.0,Pre-series B,2021,Established
Earth Rhythm,2020,Gurugram,Beauty & Fashion,A mission to make customers healthier and Earth a little greener.,Anicut Angel Fund,1200000.0,Seed,2021,Early Stage
Fountain9,2019,Mumbai,Technology,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","021 Capital, Y Combinator",1900000.0,Seed,2021,Early Stage
Rockclimber,2019,Food & Beverages,Transport,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,Anand Prakash Sharma,1000000.0,Venture - Series Unknown,2021,Early Stage
SpEd@home,2020,Mumbai,Education,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",Inflection Point Ventures,300000.0,Venture - Series Unknown,2021,Early Stage
CanPe,2019,Bangalore,Technology,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Axilor Ventures,3000000.0,Seed,2021,Early Stage
Green Soul,2016,Ambernath,Commerce,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,velocity.in,200000.0,Venture - Series Unknown,2021,Early Stage
Shiprocket,2012,New Delhi,Transport,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"March Capital, Tribe Capital",41000000.0,Series D1,2021,Established
DealShare,2018,Bangalore,Commerce,The next generation disruptive (social) e-commerce product for the masses.,Tiger Global,144000000.0,Venture - Series Unknown,2021,Early Stage
Teachmint,2020,Bangalore,Education,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,Learn Capital,20000000.0,Pre-series B,2021,Early Stage
Vahak,2017,Bangalore,Transport,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,RTP Global,5000000.0,Pre-series A,2021,Early Stage
goSTOPS,2014,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"IAN, Yuj Ventures",1000000.0,Pre-series A,2021,Established
Codedamn,2020,New Delhi,Technology,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Antler India,3000000.0,Pre-seed,2021,Early Stage
Biocraft Innovation Technology,2019,Noida,Energy,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,JITO Angel Network,3000000.0,Pre-seed,2021,Early Stage
Powerplay,2020,Bangalore,Real Estate,Powerplay helps simplify end to end Construction and Architecture project management.,"Sequoia’s Surge, Accel Partners",5200000.0,Venture - Series Unknown,2021,Early Stage
Accio Robotics,2020,Bangalore,Manufacturing,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,Uday Sodhi,3000000.0,Venture - Series Unknown,2021,Early Stage
Delhivery,2011,Gurugram,Transport,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Fidelity, GIC",270000000.0,Series H,2021,Established
Avishkaar,2014,New Delhi,Education,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,Auxano,600000.0,Pre-series A,2021,Established
Jobsgaar,2020,New Delhi,Business,India's first District level/ Hyper Local Job discovery platform,SucSEED Indovation Fund,140000.0,Seed,2021,Early Stage
Almo,2020,Gurugram,Beauty & Fashion,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Angelist India,3000000.0,Seed,2021,Early Stage
Breathe Well-being,2015,New Delhi,Health,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000.0,Pre-series A,2021,Established
GalaxEye,2020,Chennai,Technology,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,Speciale Invest,3000000.0,Pre-seed,2021,Early Stage
